FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction
firs,1,20,40,1,3,0.2,0.022,3000,10,-0.01,0.05,0.2,0.002,15,10,0.1,0.1
junipers,2,20,40,1,3,0.2,0.022,3000,10,-0.01,0.05,0.2,0.002,15,10,0.1,0.1
incense-cedar,3,20,40,1,3,0.2,0.022,3000,10,-0.01,0.05,0.2,0.002,15,10,0.1,0.1
spruce,4,20,40,1,3,0.2,0.022,3000,10,-0.01,0.05,0.2,0.002,15,10,0.1,0.1
pines,5,20,40,1,3,0.2,0.022,3000,10,-0.01,0.05,0.2,0.002,15,10,0.1,0.1
hardwoods,6,18,38,1,4,0.3,0.022,2000,20,-0.01,0.06,0.2,0.002,15,10,0.1,0.1
soft-hardwoods,7,23,30,5,10,0.3,-0.9,1500,12,1,0.8,0.1,0.002,10,9,0.1,0.1
hardwoods_dry,8,18,40,1,4,0.3,0.022,2000,20,-0.01,0.04,0.2,0.002,15,10,0.1,0.1
ShrubGrass,13,18,37,1,3,0.35,0.022,5000,15,-0.01,0.07,0.2,0.002,15,10,0.1,0.1
