Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
1, eco2, 2, 369410, 63, 183.8, 1347.6, 20.9, 5.8, 0.8, 32, 8.27, 30.8, 5.5, 3.3, 2, 630.5, 126.1, 39.2, 8.5, 0.5, 0.5, 0.1, 0.3, 5, 40.6, 35.9, 102.3, 0.1, 0, 1.6, 0.4, 0.1, 0, 0, 0, 0, 0, 1, 5.4, 1.7, 12.2, 0, 0, 0, 0, 0.1, 2.5, -2.1, 0, 0.02, 0.35, 0.08, 0, 0, 0, 0, 28.6, 2.13, 0, 
1, eco3, 3, 292243, 698.1, 1497, 21598.1, 48.3, 13.4, 2.1, 291.4, 7.58, 216.6, 43.1, 8.2, 4.9, 10143.7, 1913.5, 291.5, 53.9, 0.9, 1.1, 0.3, 0.7, 42.3, 375.5, 238.7, 840.5, 0.2, 0.1, 27.1, 22.3, 0.8, 0.6, 0, 0, 0, 0, 2.2, 45.4, 11.2, 99.1, 0, 0, 0, 0, 0.2, 16.4, -17.5, 0, 0.03, 1.19, 0.17, 0, 0, 0.2, 0, 165.6, 1.37, 0, 
1, eco4, 4, 482063, 333, 775, 55690.4, 67.2, 18.6, 3.2, 729.5, 5.98, 207.7, 18.2, 11.2, 6.7, 26164.1, 4634, 853.5, 129.9, 1.3, 1.7, 0.5, 1.1, 94.4, 177.5, 129.1, 373.9, 0.3, 0.1, 69.8, 55, 2.2, 1.5, 0, 0.1, 0, 0, 1.4, 21.3, 5.7, 44.2, 0, 0, 0, 0, 0.1, 6.3, -8.6, 0, 0.04, 2.58, 0.38, 0, 0, 0.5, 0, 78.7, 1.61, 0, 
1, eco5, 5, 279971, 398.1, 825.8, 170836.6, 51.6, 13.6, 3.8, 2119.5, 5.89, 450.8, 16, 8.3, 5.1, 80283.9, 12444.9, 2244.5, 326.9, 1.4, 1.9, 0.6, 1.1, 165.8, 162.2, 159.3, 338.5, 0.2, 0.1, 214.7, 153.2, 5.9, 4, 0, 0.1, 0, 0, 1.6, 19, 6, 40, 0, 0, 0, 0, 0.1, 5.7, -8.1, 0, 0.05, 2.38, 0.44, 0, 0, 0.6, 0, 72.6, 1.62, 0, 
1, eco6, 6, 936093, 285.6, 607.7, 2974.5, 33.4, 9.4, 1.3, 60.5, 8.06, 81.1, 19.5, 5.5, 3.3, 1393, 274.2, 60.7, 13.7, 0.7, 0.8, 0.2, 0.5, 12.3, 152.2, 88.7, 354.5, 0.1, 0.1, 3.5, 2.5, 0.2, 0.1, 0, 0, 0, 0, 1.1, 19, 4.6, 41.9, 0, 0, 0, 0, 0.1, 7.7, -7.8, 0, 0.03, 1.45, 0.2, 0, 0, 0.1, 0, 74.7, 1.81, 0, 
1, eco7, 7, 521671, 403.1, 829.2, 39269.8, 37.1, 10.2, 1.9, 487.2, 7.96, 184.9, 25.2, 6.2, 3.7, 18451.5, 3343.4, 463.4, 83.8, 0.8, 1, 0.3, 0.6, 36, 202.1, 127.2, 463.9, 0.2, 0.1, 48, 39.4, 1.2, 0.9, 0, 0, 0, 0, 1.5, 24.5, 6.2, 54.9, 0, 0, 0, 0, 0.1, 9.8, -9.9, 0, 0.03, 5.58, 0.64, 0, 0, 0.3, 0, 95.1, 1.76, 0, 
1, eco8, 8, 580739, 380.7, 814.4, 2660.1, 13.2, 3.7, 0.5, 41, 6.45, 100.6, 22.7, 2.2, 1.3, 1248.3, 247.1, 42.2, 10, 0.4, 0.3, 0.1, 0.2, 14.3, 208.2, 131.1, 460.7, 0.1, 0, 3.1, 2.6, 0.1, 0.1, 0, 0, 0, 0, 1.2, 25.8, 6.6, 54.5, 0, 0, 0, 0, 0.1, 8, -10, 0, 0.02, 1.87, 0.23, 0, 0, 0, 0, 94.6, 1.61, 0, 
1, eco9, 9, 336263, 117, 456.9, 1769.7, 33.3, 9.3, 1.3, 46.9, 6.69, 55.4, 8.5, 5.4, 3.2, 826.6, 164.5, 55.6, 11.5, 0.7, 0.8, 0.2, 0.5, 8.5, 92.4, 121.2, 234.8, 0.1, 0.1, 2.1, 0.5, 0.2, 0, 0, 0, 0, 0, 1.2, 11.3, 5.3, 27.9, 0, 0, 0, 0, 0.1, 2.9, -4.1, 0, 0.05, 5.31, 0.87, 0, 0, 0, 0, 52.4, 1.86, 0, 
1, eco10, 10, 254883, 392.5, 658.4, 165895.9, 39.5, 9.7, 1.6, 1978.4, 8.51, 409.9, 21, 7.1, 4.6, 77964.9, 10037.4, 1809.3, 238.2, 0.7, 0.8, 0.3, 0.5, 93.4, 146.4, 87.9, 330.7, 0.2, 0.1, 214.6, 116.5, 5, 2.8, 0, 0, 0, 0, 1.4, 17.7, 3.9, 39.2, 0, 0, 0, 0, 0.1, 9, -8.6, 0, 0.04, 3.15, 0.41, 0, 0, 0.4, 0, 70.7, 1.88, 0, 
2, eco1, 1, 472775, 112.6, 665.8, 15758.8, 40.2, 11.1, 5.4, 214.4, 12.89, 120.2, 13, 11.5, 6.9, 7394.5, 1261.1, 404, 72.1, 2.3, 3.6, 1.1, 2.4, 42.6, 136.5, 52.4, 434.3, 0.3, 0.1, 19.2, 13.8, 1.1, 0.7, 0, 0.1, 0, 0.1, 1.4, 16.6, 2.8, 51.2, 0, 0, 0, 0, 0.1, 9.1, -0.8, 0, 0.06, 8.46, 1.39, 0, 0, 0.2, 0, 85.1, 2.5, 0, 
2, eco2, 2, 369410, 6, 150, 1316.1, 27, 7.6, 2.4, 36.5, 8.85, 28.9, 3.8, 6.4, 3.8, 612.8, 122.6, 72.5, 15.5, 1.2, 1.7, 0.5, 1.2, 7.6, 28.3, 11.8, 102.4, 0.1, 0.1, 1.5, 0.4, 0.2, 0.1, 0, 0, 0, 0, 1, 3.7, 0.7, 12.2, 0, 0, 0, 0, 0, 2.8, -0.2, 0, 0.02, 0.52, 0.11, 0, 0, 0, 0, 26.5, 2.1, 0, 
2, eco3, 3, 292243, 280.6, 1275, 21040.2, 46.4, 12.8, 6.9, 282.3, 21.98, 213, 28.2, 11.6, 7, 9878, 1863.3, 490.4, 95.3, 2.6, 3.8, 1.2, 2.6, 80.7, 275.5, 76.1, 842.8, 0.3, 0.1, 26.4, 21.7, 1.3, 1, 0, 0.1, 0, 0.1, 2.1, 33.6, 4.7, 99.5, 0, 0, 0, 0, 0.2, 19, -1, 0, 0.04, 1.41, 0.43, 0, 0, 0.2, 0.1, 162.2, 3.45, 0, 
2, eco4, 4, 482063, 254.5, 813.8, 54181, 69.7, 19.3, 9.4, 707.7, 11.06, 205.2, 14.4, 17.1, 10.3, 25448.2, 4505.8, 1282.3, 220.6, 3.6, 5.6, 1.7, 3.7, 224.3, 155, 59.3, 375.1, 0.4, 0.2, 67.9, 53.5, 3.4, 2.5, 0, 0.2, 0, 0.1, 1.7, 17.2, 2.5, 44.4, 0, 0, 0, 0, 0.1, 9, -1.8, 0, 0.06, 2.8, 0.56, 0, 0, 0.5, 0.1, 77.2, 2.1, 0, 
2, eco5, 5, 279971, 472.8, 1077.3, 166189.7, 47.5, 12.3, 8.1, 2048.7, 8.51, 448.2, 13.4, 12.1, 7.7, 78094.2, 12095.9, 3760.7, 584.7, 3.4, 5.3, 1.8, 3.3, 441.4, 177.6, 118.6, 339.6, 0.3, 0.2, 208.8, 148.9, 10, 7.2, 0, 0.2, 0, 0.1, 2.3, 18.4, 3, 40.2, 0, 0, 0, 0, 0.1, 8.2, -4.3, 0, 0.06, 2.85, 0.6, 0.1, 0, 0.5, 0.1, 72.8, 1.79, 0, 
