Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, 3, 0, 0, 1148, 36477, 
1, 4, 0, 0, 0, 0, 
1, 5, 0, 0, 4612, 131636, 
1, 11, 0, 0, 0, 0, 
1, 15, 0, 0, 0, 576, 
1, 17, 0, 0, 0, 0, 
1, 18, 0, 0, 0, 0, 
1, 19, 0, 0, 0, 0, 
1, 20, 0, 0, 0, 0, 
1, 21, 0, 0, 0, 0, 
1, 51, 0, 0, 0, 0, 
1, 52, 0, 0, 0, 0, 
1, 58, 0, 0, 0, 19, 
1, 59, 0, 0, 0, 1831, 
1, 61, 0, 0, 0, 774, 
1, 62, 0, 0, 0, 5281, 
1, 63, 0, 0, 0, 3452, 
1, 64, 0, 0, 0, 664, 
1, 65, 0, 0, 0, 10672, 
1, 66, 0, 0, 0, 1147, 
1, 68, 0, 0, 0, 20, 
1, 69, 0, 0, 0, 959, 
1, 81, 0, 0, 0, 1821, 
1, 93, 0, 0, 0, 0, 
1, 96, 0, 0, 0, 0, 
1, 101, 0, 0, 0, 0, 
1, 103, 0, 0, 0, 0, 
1, 104, 0, 0, 0, 0, 
1, 106, 0, 0, 0, 50, 
1, 108, 0, 0, 0, 0, 
1, 109, 0, 0, 0, 26, 
1, 113, 0, 0, 0, 0, 
1, 114, 0, 0, 0, 0, 
1, 116, 0, 0, 0, 0, 
1, 117, 0, 0, 0, 0, 
1, 118, 0, 0, 0, 0, 
1, 119, 0, 0, 0, 0, 
1, 122, 0, 0, 0, 12748, 
1, 124, 0, 0, 0, 0, 
1, 127, 0, 0, 0, 3360, 
1, 133, 0, 0, 0, 4991, 
1, 134, 0, 0, 0, 19, 
1, 135, 0, 0, 0, 1, 
1, 137, 0, 0, 0, 0, 
1, 140, 0, 0, 0, 0, 
1, 141, 0, 0, 0, 2, 
1, 142, 0, 0, 0, 0, 
1, 143, 0, 0, 0, 4403, 
1, 201, 0, 0, 0, 762, 
1, 202, 0, 0, 0, 1714, 
1, 211, 0, 0, 0, 0, 
1, 212, 0, 0, 0, 0, 
1, 242, 0, 0, 0, 0, 
1, 263, 0, 0, 0, 0, 
1, 264, 0, 0, 0, 0, 
1, 312, 0, 0, 0, 5, 
1, 313, 0, 0, 0, 0, 
1, 321, 0, 0, 0, 0, 
1, 322, 0, 0, 2, 0, 
1, 351, 0, 0, 0, 0, 
1, 352, 0, 0, 0, 0, 
1, 353, 0, 0, 0, 0, 
1, 361, 0, 0, 2, 80, 
1, 362, 0, 0, 0, 0, 
1, 375, 0, 0, 0, 0, 
1, 404, 0, 0, 0, 0, 
1, 461, 0, 0, 0, 5, 
1, 462, 0, 0, 0, 3, 
1, 463, 0, 0, 0, 101, 
1, 475, 0, 0, 0, 0, 
1, 540, 0, 0, 0, 0, 
1, 542, 0, 0, 0, 0, 
1, 544, 0, 0, 0, 0, 
1, 547, 0, 0, 0, 0, 
1, 549, 0, 0, 0, 0, 
1, 602, 0, 0, 0, 0, 
1, 603, 0, 0, 0, 0, 
1, 604, 0, 0, 22, 0, 
1, 605, 0, 0, 0, 0, 
1, 606, 0, 0, 0, 7, 
1, 631, 0, 0, 2, 0, 
1, 730, 0, 0, 0, 0, 
1, 732, 0, 0, 0, 0, 
1, 742, 0, 0, 0, 0, 
1, 745, 0, 0, 2, 0, 
1, 746, 0, 0, 0, 0, 
1, 747, 0, 0, 0, 0, 
1, 748, 0, 0, 9, 0, 
1, 749, 0, 0, 0, 0, 
1, 763, 0, 0, 2, 4, 
1, 766, 0, 0, 0, 0, 
1, 768, 0, 0, 0, 0, 
1, 801, 0, 0, 19, 4030, 
1, 803, 0, 0, 13, 360, 
1, 805, 0, 0, 28, 6112, 
1, 807, 0, 0, 6, 606, 
1, 810, 0, 0, 0, 90, 
1, 811, 0, 0, 13, 3049, 
1, 814, 0, 0, 16, 1092, 
1, 815, 0, 0, 4, 1240, 
1, 818, 0, 0, 6, 3321, 
1, 821, 0, 0, 0, 501, 
1, 823, 0, 0, 0, 2, 
1, 826, 0, 0, 0, 2, 
1, 827, 0, 0, 0, 0, 
1, 829, 0, 0, 0, 0, 
1, 834, 0, 0, 0, 0, 
1, 835, 0, 0, 0, 0, 
1, 838, 0, 0, 0, 0, 
1, 839, 0, 0, 22, 4309, 
1, 843, 0, 0, 0, 2, 
1, 846, 0, 0, 0, 19, 
1, 847, 0, 0, 0, 1, 
1, 901, 0, 0, 0, 0, 
1, 972, 0, 0, 1, 0, 
1, 973, 0, 0, 0, 0, 
1, 974, 0, 0, 0, 0, 
1, 975, 0, 0, 0, 0, 
1, 981, 0, 0, 3, 170, 
1, 73, 0, 0, 0, 0, 
2, 3, 0, 0, 2232, 81393, 
2, 4, 0, 0, 0, 0, 
2, 5, 0, 0, 4155, 212514, 
2, 11, 0, 0, 0, 0, 
2, 15, 0, 0, 0, 1108, 
2, 17, 0, 0, 0, 26, 
2, 18, 0, 0, 0, 0, 
2, 19, 0, 0, 0, 0, 
2, 20, 0, 0, 0, 17, 
2, 21, 0, 0, 0, 0, 
2, 51, 0, 0, 0, 0, 
2, 52, 0, 0, 0, 0, 
2, 58, 0, 0, 0, 23, 
2, 59, 0, 0, 0, 2037, 
2, 61, 0, 0, 0, 890, 
2, 62, 0, 0, 0, 7064, 
2, 63, 0, 0, 0, 4154, 
2, 64, 0, 0, 0, 1073, 
2, 65, 0, 0, 0, 12322, 
2, 66, 0, 0, 0, 1514, 
2, 68, 0, 0, 0, 26, 
2, 69, 0, 0, 0, 1112, 
2, 81, 0, 0, 0, 3364, 
2, 93, 0, 0, 0, 0, 
2, 96, 0, 0, 0, 0, 
2, 101, 0, 0, 0, 0, 
2, 103, 0, 0, 0, 0, 
2, 104, 0, 0, 0, 0, 
2, 106, 0, 0, 0, 486, 
2, 108, 0, 0, 0, 0, 
2, 109, 0, 0, 0, 99, 
2, 113, 0, 0, 0, 0, 
2, 114, 0, 0, 0, 0, 
2, 116, 0, 0, 0, 0, 
2, 117, 0, 0, 0, 0, 
2, 118, 0, 0, 0, 0, 
2, 119, 0, 0, 0, 0, 
2, 122, 0, 0, 0, 23706, 
2, 124, 0, 0, 0, 0, 
2, 127, 0, 0, 0, 8847, 
2, 133, 0, 0, 0, 9073, 
2, 134, 0, 0, 0, 40, 
2, 135, 0, 0, 0, 0, 
2, 137, 0, 0, 0, 2, 
2, 140, 0, 0, 0, 1, 
2, 141, 0, 0, 0, 2, 
2, 142, 0, 0, 0, 0, 
2, 143, 0, 0, 0, 7205, 
2, 201, 0, 0, 0, 972, 
2, 202, 0, 0, 0, 2212, 
2, 211, 0, 0, 0, 2, 
2, 212, 0, 0, 0, 2, 
2, 242, 0, 0, 0, 0, 
2, 263, 0, 0, 0, 0, 
2, 264, 0, 0, 0, 0, 
2, 312, 0, 0, 7, 27, 
2, 313, 0, 0, 0, 0, 
2, 321, 0, 0, 0, 0, 
2, 322, 0, 0, 1, 4, 
2, 351, 0, 0, 0, 0, 
2, 352, 0, 0, 0, 0, 
2, 353, 0, 0, 0, 0, 
2, 361, 0, 0, 2, 203, 
2, 362, 0, 0, 0, 0, 
2, 375, 0, 0, 0, 0, 
2, 404, 0, 0, 0, 0, 
2, 461, 0, 0, 0, 7, 
2, 462, 0, 0, 0, 9, 
2, 463, 0, 0, 0, 179, 
2, 475, 0, 0, 0, 0, 
2, 540, 0, 0, 1, 0, 
2, 542, 0, 0, 0, 0, 
2, 544, 0, 0, 0, 0, 
2, 547, 0, 0, 0, 0, 
2, 549, 0, 0, 0, 0, 
2, 602, 0, 0, 0, 0, 
2, 603, 0, 0, 0, 0, 
2, 604, 0, 0, 25, 6, 
2, 605, 0, 0, 0, 0, 
2, 606, 0, 0, 3, 25, 
2, 631, 0, 0, 7, 0, 
2, 730, 0, 0, 0, 0, 
2, 732, 0, 0, 2, 0, 
2, 742, 0, 0, 3, 0, 
2, 745, 0, 0, 2, 0, 
2, 746, 0, 0, 0, 0, 
2, 747, 0, 0, 0, 0, 
2, 748, 0, 0, 1, 0, 
2, 749, 0, 0, 0, 0, 
2, 763, 0, 0, 11, 1, 
2, 766, 0, 0, 0, 0, 
2, 768, 0, 0, 0, 0, 
2, 801, 0, 0, 46, 6686, 
2, 803, 0, 0, 1, 476, 
2, 805, 0, 0, 127, 8144, 
2, 807, 0, 0, 10, 1083, 
2, 810, 0, 0, 0, 106, 
2, 811, 0, 0, 50, 4083, 
2, 814, 0, 0, 17, 1446, 
2, 815, 0, 0, 14, 1730, 
2, 818, 0, 0, 34, 4627, 
2, 821, 0, 0, 0, 836, 
2, 823, 0, 0, 0, 5, 
2, 826, 0, 0, 0, 7, 
2, 827, 0, 0, 0, 0, 
2, 829, 0, 0, 0, 0, 
2, 834, 0, 0, 0, 0, 
2, 835, 0, 0, 0, 0, 
2, 838, 0, 0, 0, 2, 
2, 839, 0, 0, 110, 5873, 
2, 843, 0, 0, 0, 4, 
2, 846, 0, 0, 0, 26, 
2, 847, 0, 0, 0, 0, 
2, 901, 0, 0, 0, 0, 
2, 972, 0, 0, 1, 0, 
2, 973, 0, 0, 0, 0, 
2, 974, 0, 0, 0, 0, 
2, 975, 0, 0, 0, 0, 
2, 981, 0, 0, 8, 336, 
2, 73, 0, 0, 0, 0, 
3, 3, 0, 0, 5498, 112516, 
3, 4, 0, 0, 0, 0, 
3, 5, 0, 0, 10264, 284882, 
3, 11, 0, 0, 0, 0, 
3, 15, 0, 0, 0, 2047, 
3, 17, 0, 0, 0, 107, 
3, 18, 0, 0, 0, 0, 
3, 19, 0, 0, 0, 2, 
3, 20, 0, 0, 0, 104, 
3, 21, 0, 0, 0, 0, 
3, 51, 0, 0, 0, 0, 
3, 52, 0, 0, 0, 0, 
3, 58, 0, 0, 0, 25, 
3, 59, 0, 0, 0, 2104, 
3, 61, 0, 0, 0, 911, 
3, 62, 0, 0, 0, 8227, 
3, 63, 0, 0, 0, 4569, 
3, 64, 0, 0, 0, 1401, 
3, 65, 0, 0, 0, 14086, 
3, 66, 0, 0, 0, 1624, 
3, 68, 0, 0, 0, 25, 
3, 69, 0, 0, 0, 1210, 
3, 81, 0, 0, 0, 5581, 
3, 93, 0, 0, 0, 0, 
3, 96, 0, 0, 0, 0, 
3, 101, 0, 0, 0, 0, 
3, 103, 0, 0, 0, 0, 
3, 104, 0, 0, 0, 0, 
3, 106, 0, 0, 0, 926, 
3, 108, 0, 0, 0, 0, 
3, 109, 0, 0, 0, 246, 
3, 113, 0, 0, 0, 0, 
3, 114, 0, 0, 0, 0, 
3, 116, 0, 0, 0, 0, 
3, 117, 0, 0, 0, 0, 
3, 118, 0, 0, 0, 0, 
3, 119, 0, 0, 0, 0, 
3, 122, 0, 0, 0, 25594, 
3, 124, 0, 0, 0, 0, 
3, 127, 0, 0, 0, 18501, 
3, 133, 0, 0, 0, 10396, 
3, 134, 0, 0, 0, 28, 
3, 135, 0, 0, 0, 3, 
3, 137, 0, 0, 0, 4, 
3, 140, 0, 0, 0, 1, 
3, 141, 0, 0, 0, 0, 
3, 142, 0, 0, 0, 0, 
3, 143, 0, 0, 0, 6934, 
3, 201, 0, 0, 0, 1184, 
3, 202, 0, 0, 0, 2777, 
3, 211, 0, 0, 0, 8, 
3, 212, 0, 0, 0, 6, 
3, 242, 0, 0, 0, 0, 
3, 263, 0, 0, 0, 0, 
3, 264, 0, 0, 0, 0, 
3, 312, 0, 0, 4, 38, 
3, 313, 0, 0, 0, 1, 
3, 321, 0, 0, 1, 0, 
3, 322, 0, 0, 1, 19, 
3, 351, 0, 0, 0, 0, 
3, 352, 0, 0, 0, 0, 
3, 353, 0, 0, 0, 0, 
