# ppt,,,
,eco7,eco7,eco7
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1950-04-15T00:00:00Z,0.097633995,0.10041835,0.31688854
1950-04-16T00:00:00Z,0.6539647,0.55487263,0.7448977
1950-04-17T00:00:00Z,0.22600538,0.104149245,0.32272163
1950-04-18T00:00:00Z,0.94042283,1.1625676,1.0782243
1950-04-19T00:00:00Z,0.10156221,0.057546698,0.23988892
1950-04-20T00:00:00Z,0,0,0
1950-04-21T00:00:00Z,0.001758798,5.25E-04,0.022920473
1950-04-22T00:00:00Z,0.028993558,0.038986288,0.19744946
1950-04-23T00:00:00Z,0,0,0
1950-04-24T00:00:00Z,7.2199845,46.03506,6.784914
1950-04-25T00:00:00Z,9.324762,12.871442,3.5876791
1950-04-26T00:00:00Z,17.229538,41.353752,6.4306884
1950-04-27T00:00:00Z,8.383153,27.086292,5.204449
1950-04-28T00:00:00Z,0,0,0
1950-04-29T00:00:00Z,0.018283324,0.008977572,0.094750054
1950-04-30T00:00:00Z,0,0,0
1950-05-01T00:00:00Z,0,0,0
1950-05-02T00:00:00Z,0.10565475,0.096678376,0.31093147
1950-05-03T00:00:00Z,0.007382424,0.002683476,0.051802274
1950-05-04T00:00:00Z,0.056374695,0.023785546,0.15422563
1950-05-05T00:00:00Z,0,0,0
1950-05-06T00:00:00Z,0,0,0
1950-05-07T00:00:00Z,0.053964794,0.015722612,0.12538984
1950-05-08T00:00:00Z,0,0,0
1950-05-09T00:00:00Z,0,0,0
1950-05-10T00:00:00Z,0.003694914,0.001400509,0.03742338
1950-05-11T00:00:00Z,4.06E-05,1.22E-05,0.003491623
1950-05-12T00:00:00Z,0,0,0
1950-05-13T00:00:00Z,0,0,0
1950-05-14T00:00:00Z,9.32E-04,2.79E-04,0.016704738
1950-05-15T00:00:00Z,0,0,0
1950-05-16T00:00:00Z,0.004558205,0.001348744,0.036725245
1950-05-17T00:00:00Z,6.77E-04,2.03E-04,0.014242221
1950-05-18T00:00:00Z,0.019110477,0.005415315,0.073588826
1950-05-19T00:00:00Z,0.015115662,0.004933629,0.07023979
1950-05-20T00:00:00Z,3.50E-04,1.05E-04,0.010244106
1950-05-21T00:00:00Z,0.48748285,1.3625951,1.1673025
1950-05-22T00:00:00Z,0.56166124,0.3992515,0.63186353
1950-05-23T00:00:00Z,0.13393953,0.034532018,0.18582793
1950-05-24T00:00:00Z,0.2679171,0.07667932,0.2769103
1950-05-25T00:00:00Z,0.009931097,0.002885107,0.053713195
1950-05-26T00:00:00Z,5.00E-04,1.50E-04,0.012250147
1950-05-27T00:00:00Z,0.021044366,0.007416034,0.086116396
1950-05-28T00:00:00Z,0,0,0
1950-05-29T00:00:00Z,0.021159114,0.006157794,0.07847161
1950-05-30T00:00:00Z,0.0865956,0.03157557,0.17769517
1950-05-31T00:00:00Z,0.012555932,0.003691855,0.060760636
1950-06-01T00:00:00Z,0.009754716,0.003308069,0.057515815
1950-06-02T00:00:00Z,0.05977127,0.0156703,0.12518106
1950-06-03T00:00:00Z,0.002826987,8.43E-04,0.029026676
1950-06-04T00:00:00Z,0.7391626,1.2162687,1.1028458
1950-06-05T00:00:00Z,9.96E-04,2.98E-04,0.01727172
1950-06-06T00:00:00Z,9.96E-04,2.98E-04,0.01727172
1950-06-07T00:00:00Z,0.012551951,0.004311708,0.0656636
1950-06-08T00:00:00Z,0.026425587,0.008638503,0.09294355
1950-06-09T00:00:00Z,0.01976694,0.006945213,0.08333795
1950-06-10T00:00:00Z,0.007734017,0.002768165,0.05261335
1950-06-11T00:00:00Z,8.09E-04,2.45E-04,0.015639726
1950-06-12T00:00:00Z,0.004336412,0.001316152,0.036278814
1950-06-13T00:00:00Z,0.014814145,0.004231245,0.06504802
1950-06-14T00:00:00Z,8.68E-06,2.61E-06,0.001614844
1950-06-15T00:00:00Z,0.06206748,0.022562057,0.15020671
1950-06-16T00:00:00Z,0.045486942,0.013653938,0.11685006
1950-06-17T00:00:00Z,0.020888532,0.007271248,0.08527161
1950-06-18T00:00:00Z,0.022715509,0.006930977,0.08325249
1950-06-19T00:00:00Z,0.09198248,0.11170475,0.3342226
1950-06-20T00:00:00Z,0.060882527,0.026354043,0.16233929
1950-06-21T00:00:00Z,0.20217787,0.039345417,0.19835679
1950-06-22T00:00:00Z,0.008360733,0.002479535,0.049794927
1950-06-23T00:00:00Z,0.003825608,0.0011833,0.03439913
1950-06-24T00:00:00Z,0.04361402,0.01440342,0.12001425
1950-06-25T00:00:00Z,0.026991758,0.00866204,0.09307008
1950-06-26T00:00:00Z,0.006650223,0.002217237,0.047087543
1950-06-27T00:00:00Z,0.034896217,0.010956638,0.10467396
1950-06-28T00:00:00Z,0.037534952,0.01216587,0.110299
1950-06-29T00:00:00Z,0.02640277,0.009075563,0.095265746
1950-06-30T00:00:00Z,0.04615122,0.014302727,0.11959401
1950-07-01T00:00:00Z,0.052803047,0.016494604,0.12843132
1950-07-02T00:00:00Z,6.64E-04,1.99E-04,0.014104269
1950-07-03T00:00:00Z,0.061302535,0.017419443,0.13198274
1950-07-04T00:00:00Z,0.036750983,0.011752284,0.10840795
1950-07-05T00:00:00Z,0.010706756,0.004008042,0.063309096
1950-07-06T00:00:00Z,0.012084141,0.004074113,0.06382878
1950-07-07T00:00:00Z,0.009608334,0.00326489,0.057139214
1950-07-08T00:00:00Z,0.005107904,0.001590264,0.03987811
1950-07-09T00:00:00Z,0.037159722,0.05764763,0.2400992
1950-07-10T00:00:00Z,0.028741393,0.009512392,0.09753149
1950-07-11T00:00:00Z,0.024818642,0.008287048,0.09103323
1950-07-12T00:00:00Z,0.044862334,0.014088025,0.11869299
1950-07-13T00:00:00Z,0.016153589,0.005606403,0.07487591
1950-07-14T00:00:00Z,0.0178532,0.011709565,0.10821075
1950-07-15T00:00:00Z,0.03708488,0.014896807,0.122052476
1950-07-16T00:00:00Z,0.034920976,0.013839475,0.1176413
1950-07-17T00:00:00Z,0.023622975,0.009655654,0.09826319
1950-07-18T00:00:00Z,0.041182276,0.0157524,0.12550856
1950-07-19T00:00:00Z,0.007373285,0.00236513,0.0486326
1950-07-20T00:00:00Z,0.020016298,0.008342223,0.09133577
1950-07-21T00:00:00Z,0.036384698,0.028507773,0.16884245
1950-07-22T00:00:00Z,0.010879487,0.005222678,0.0722681
1950-07-23T00:00:00Z,0.023182767,0.009627602,0.09812035
1950-07-24T00:00:00Z,0.048013642,0.015171657,0.12317328
1950-07-25T00:00:00Z,0.041285016,0.015821232,0.12578247
1950-07-26T00:00:00Z,0.023809416,0.009811428,0.09905265
1950-07-27T00:00:00Z,0.032143705,0.013275962,0.11522136
1950-07-28T00:00:00Z,0.7897022,1.1101334,1.0536287
1950-07-29T00:00:00Z,0.2644699,0.43086326,0.65640175
1950-07-30T00:00:00Z,0.18498012,0.8380811,0.91546774
1950-07-31T00:00:00Z,0.06542373,0.023925185,0.15467767
1950-08-01T00:00:00Z,0.09521042,0.03765942,0.19406036
1950-08-02T00:00:00Z,0.016074926,0.028313167,0.16826516
1950-08-03T00:00:00Z,0.3705405,0.30013844,0.54784894
1950-08-04T00:00:00Z,0.11087987,0.033694398,0.18356034
1950-08-05T00:00:00Z,0.12963814,0.38346374,0.6192445
1950-08-06T00:00:00Z,0.5252263,0.92511415,0.96182853
1950-08-07T00:00:00Z,0.12529469,0.045931198,0.21431565
1950-08-08T00:00:00Z,0.007161148,0.002761055,0.052545737
1950-08-09T00:00:00Z,0.01379577,0.005683859,0.075391375
1950-08-10T00:00:00Z,0.008905488,0.004456113,0.066754125
1950-08-11T00:00:00Z,1.5683515,4.2418556,2.0595765
1950-08-12T00:00:00Z,0.078664936,0.027262215,0.16511273
1950-08-13T00:00:00Z,0.015338359,0.005201097,0.07211863
1950-08-14T00:00:00Z,2.54E-04,7.61E-05,0.008724132
1950-08-15T00:00:00Z,0.054068696,0.015978463,0.12640594
1950-08-16T00:00:00Z,1.7046136,6.637681,2.5763698
1950-08-17T00:00:00Z,0.07523763,0.026970714,0.16422763
1950-08-18T00:00:00Z,0.02126889,0.007750264,0.08803558
1950-08-19T00:00:00Z,0.013993212,0.004493943,0.067036875
1950-08-20T00:00:00Z,0.042904034,0.039040666,0.19758712
1950-08-21T00:00:00Z,0.010208806,0.003707216,0.06088691
1950-08-22T00:00:00Z,0.011114566,0.004028727,0.063472256
1950-08-23T00:00:00Z,0.012978049,0.004541646,0.06739173
1950-08-24T00:00:00Z,0.04133963,0.028203065,0.16793768
1950-08-25T00:00:00Z,0.031450886,0.013878736,0.117808044
1950-08-26T00:00:00Z,0.033820003,0.013046611,0.11422176
1950-08-27T00:00:00Z,0.09018463,0.23291478,0.48261246
1950-08-28T00:00:00Z,0.02075555,0.00789212,0.0888376
1950-08-29T00:00:00Z,3.37E-04,1.01E-04,0.010059495
1950-08-30T00:00:00Z,0.001119069,3.35E-04,0.01830245
1950-08-31T00:00:00Z,9.58E-04,3.29E-04,0.018150257
1950-09-01T00:00:00Z,0.438685,0.25759244,0.50753564
1950-09-02T00:00:00Z,0,0,0
1950-09-03T00:00:00Z,0.002151495,6.87E-04,0.026207345
1950-09-04T00:00:00Z,0.012271814,0.00636724,0.07979499
1950-09-05T00:00:00Z,0.003877471,0.001156137,0.03400201
