Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco7, 0, 1, 0, 581, 15392, 0, 0, 0, 0, 10, 82, 0, 0, 0, 7234.2, 1426.2, 4.7, 1.5, 0.4, 0.1, 0, 0, 5.8, 11.6, 342.8, 220.8, 0, 0, 18.4, 17.7, 0, 0, 0, 0, 0, 0, 1.1, 1.2, 13.7, 19.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45.9, 0, 0, 
1, eco7, 0, 1, 115, 349.3, 15476, 105.3, 18.5, 4.8, 55.8, 9.1, 81.3, 15.1, 37.4, 5.6, 7241.6, 1427.4, 56.1, 11.9, 1.6, 1.7, 0.2, 0.3, 7.7, 87.5, 32.2, 221.8, 1.4, 0.2, 18.4, 17.7, 0.2, 0.1, 0, 0, 0, 0, 1, 11.1, 2, 20.1, 0, 0, 0, 0, 0.1, 6.7, -5.1, 0, 0.23, 0, 0, 0, 0, 2, 0.1, 43.4, 0.91, 0, 
2, eco7, 0, 1, -174.3, 291.7, 15729, 235, 41.7, 77.7, 59.4, 12.51, 80.1, 9.9, 53.7, 8.1, 7323.2, 1443.2, 103.9, 22, 21.6, 30.4, 3.4, 6.1, 22.1, 38.2, 9.2, 222.3, 2, 0.3, 18.6, 17.9, 0.3, 0.3, 0.1, 0.8, 0, 0.3, 1.4, 4.9, 0.6, 20.2, 0, -0.1, 0, 0, 0.1, 7.1, 0.5, 0, 0.23, 0, 0, 0, 0, 3.2, 1.6, 40.8, 1.26, 0, 
