Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 581, 446368, 0, 10, 4.7, 
1, 218, 463.9, 441009, 115.6, 7.87, 2418, 
2, 251, 679.7, 435699, 181.6, 9.75, 4459.9, 
