IgnitionType,Mapcode,Suppress_Category_0,FWI_Break_1,Suppress_Category_1,FWI_Break_2,Suppress_Category_2
Accidental,0,0,20,0,22,0
Accidental,1,20,20,60,22,60
Accidental,2,35,20,70,22,70
Accidental,3,60,20,80,22,80
Lightning,0,0,20,0,22,0
Lightning,1,20,20,60,22,60
Lightning,2,35,20,70,22,70
Lightning,3,60,20,80,22,80
